authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Pamfili Antipa;(80%) Sciences économiquesSciences Po; Paris, France;NA;NA;NA;18;France;Paris
Carlos Antonio Albacete-Saez; Departamento de Organización de EmpresasFacultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;NA;NA;0;Spain;Granada
Alberto Albahari; Departamento de Economía y AdministraciónFacultad de Ciencias Económicas y EmpresarialesUniversidad de Málaga; Málaga, Spain;NA;NA;NA;8;Spain;Málaga
Pablo Antolin;(50%) Directorate for Financial, Fiscal and Enterprises AffairsOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;30;France;Paris
J M. Albala-Bertrand; School of Economics and FinanceQueen Mary University of London; London, United Kingdom;NA;NA;3;20;United Kingdom;London
Juan Antolin-Diaz; Department of EconomicsLondon Business School (LBS); London, United Kingdom;NA;NA;NA;28;United Kingdom;London
Daniel Albalate; Institut de Recerca en Economia Aplicada (IREA)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;69;Spain;Barcelona
Jose Ignacio Anton; Departamento de Economía AplicadaFacultad de DerechoUniversidad de Salamanca; Salamanca, Spain;NA;NA;NA;46;Spain;Salamanca
Arnaud Abad; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;NA;1;NA;3;France;Nancy
Cristina Abad; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Sevilla; Sevilla, Spain;NA;NA;NA;0;Spain;Sevilla
Jorge Abad; Centro de Estudios Monetarios y Financieros (CEMFI); Madrid, Spain;NA;NA;NA;8;Spain;Madrid
Nicolas Abad; UFR Droit, Économie et GestionUniversité de Rouen; Rouen, France;NA;NA;NA;7;France;Rouen
Pilar Abad; Departamento de Fundamentos del Analisis EconómicoUniversidad Rey Juan Carlos; Madrid, Spain;NA;NA;NA;20;Spain;Madrid
Pedro Albarran; Departamento de Fundamentos del Análisis EconómicoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;NA;33;Spain;Alicante
Ibrahim Abada; EconomiXUniversité Paris-Nanterre (Paris X); Nanterre, France;NA;1;NA;31;France;Nanterre
Julio Abad-Gonzalez; Departamento de Economía y EstadísticaUniversidad de León; León, Spain;NA;NA;NA;0;Spain;León
Andreas Antoniades; Center for Global Political Economy (CGPE)University of Sussex; Brighton, United Kingdom;NA;NA;NA;2;United Kingdom;Brighton
Celine Antonin;(90%) Centre de recherche en Économie (OFCE)Sciences économiquesSciences Po; Paris, France;NA;1;NA;61;France;Paris
Cecilia Albert; Departamento de EconomíaFacultad de Ciencias Económicas, Empresariales y TurismoUniversidad de Alcalá de Henares; Alcalá de Henares, Spain;NA;NA;NA;5;Spain;Alcalá de Henares
Federico Antonioli; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;2;Spain;Sevilla
Javier A Sr. A. Barrios; Departamento de Economía Aplicada y Métodos CuantitativasUniversidad de La Laguna; La Laguna, Spain;NA;NA;NA;0;Spain;La Laguna
Marie Albert; France TrésorDirection Générale du TrésorMinistère de l'Économie, des Finances et de l'IndustrieGovernment of France; Paris, France;NA;NA;NA;3;France;Paris
Ignacio Abasolo; Departamento de Economía Aplicada y Métodos CuantitativasUniversidad de La Laguna; La Laguna, Spain;NA;NA;NA;6;Spain;La Laguna
Federica Alberti; Economics and Finance GroupPortsmouth Business SchoolUniversity of Portsmouth; Portsmouth, United Kingdom;NA;NA;NA;36;United Kingdom;Portsmouth
